56 138
1 6 1
1 12 1
2 3 1
2 7 1
2 19 1
2 30 1
2 33 1
2 39 1
2 40 1
2 41 1
3 7 1
3 17 1
3 30 1
3 31 1
3 32 1
3 33 1
3 37 1
3 39 1
3 40 1
3 41 1
4 6 1
4 8 1
4 17 1
4 23 1
4 32 1
4 35 1
4 55 1
5 22 1
5 26 1
5 35 1
6 12 1
6 17 1
6 22 -1
6 23 1
6 32 1
6 34 1
6 36 1
6 51 -1
6 55 1
7 11 1
7 17 1
7 30 1
7 31 1
7 33 1
7 37 1
7 39 1
7 41 1
8 13 1
8 28 1
8 55 1
10 18 1
10 27 1
11 12 1
12 36 1
13 21 1
13 24 1
13 28 1
13 31 1
13 32 1
13 37 1
13 38 1
14 16 1
14 24 1
15 25 1
16 19 1
16 26 1
16 42 1
17 32 1
17 37 1
17 39 1
17 41 1
18 21 1
18 27 1
18 28 1
18 47 1
18 51 -1
18 52 1
18 54 1
20 21 1
20 24 1
20 32 1
20 34 1
21 24 1
21 28 1
22 33 1
23 32 1
23 34 1
23 51 -1
24 28 1
24 38 1
26 30 1
26 33 1
26 41 1
27 47 1
27 51 -1
27 52 1
27 54 1
28 38 1
28 54 1
30 33 1
30 37 1
30 41 1
31 37 1
31 55 1
32 36 1
32 37 1
32 43 1
33 37 1
33 39 1
33 40 1
33 41 1
37 39 1
37 41 1
39 40 1
39 52 1
39 54 1
40 41 1
40 51 -1
40 54 1
44 47 1
44 54 1
44 55 1
46 48 1
47 48 1
47 51 -1
47 54 1
48 51 -1
48 55 1
49 51 -1
51 52 -1
51 54 -1
51 55 -1
52 54 1
52 55 1
54 55 1
