Orbits,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,-0.2,0.4,0.72,0.39,0.07,0.3,-0.2,-0.25,0.51,0.38,0.28,0,0,0
1,-0.2,1,-0.11,-0.17,0,0.69,0.69,0.5,0.49,-0.18,-0.16,0.19,0,0,0
2,0.4,-0.11,1,0.14,0.58,0.16,0.1,0.05,-0.08,0.28,0.11,0.24,0,0,0
3,0.72,-0.17,0.14,1,0.25,-0.03,0.29,-0.2,-0.21,0.47,0.38,0.12,0,0,0
4,0.39,0,0.58,0.25,1,0.22,0.2,-0.08,-0.12,0.1,-0.11,0.25,0,0,0
5,0.07,0.69,0.16,-0.03,0.22,1,0.57,0.32,0.32,0.09,-0.13,0.35,0,0,0
6,0.3,0.69,0.1,0.29,0.2,0.57,1,0.29,0.32,0.03,-0.13,0.4,0,0,0
7,-0.2,0.5,0.05,-0.2,-0.08,0.32,0.29,1,0.46,-0.17,-0.07,-0.12,0,0,0
8,-0.25,0.49,-0.08,-0.21,-0.12,0.32,0.32,0.46,1,-0.13,-0.06,-0.09,0,0,0
9,0.51,-0.18,0.28,0.47,0.1,0.09,0.03,-0.17,-0.13,1,0.57,0.15,0,0,0
10,0.38,-0.16,0.11,0.38,-0.11,-0.13,-0.13,-0.07,-0.06,0.57,1,-0.06,0,0,0
11,0.28,0.19,0.24,0.12,0.25,0.35,0.4,-0.12,-0.09,0.15,-0.06,1,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
