Node\Orbit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,5,8,0,0,0,0,0,8,0,0,0,0,0
3,11,0,7,18,0,0,0,0,0,11,0,0,0,0,0
4,7,0,9,6,0,0,0,0,0,2,0,0,0,0,0
5,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0
6,9,2,7,14,0,0,9,4,0,3,0,0,0,0,0
7,10,0,11,12,0,0,0,0,0,7,0,0,0,0,0
8,4,0,20,3,0,0,0,0,0,1,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,0,6,0,1,0,0,0,0,1,0,0,0,0,0
11,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0,5,3,1,0,0,0,0,1,0,0,0,0,0
13,8,0,20,11,0,0,0,0,0,6,0,0,0,0,0
14,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,0,5,4,0,0,0,0,0,0,0,0,0,0,0
17,8,0,17,3,0,0,0,0,0,2,0,0,0,0,0
18,7,1,19,8,0,0,1,5,0,7,0,0,2,0,0
19,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
20,4,0,13,3,0,0,0,0,0,1,0,0,0,0,0
21,5,0,5,5,0,0,0,0,0,4,0,0,0,0,0
22,2,1,9,0,0,7,0,0,0,0,0,0,0,0,0
23,4,1,5,0,0,0,0,4,0,0,0,0,0,0,0
24,6,0,15,6,0,0,0,0,0,6,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,0,15,5,0,0,0,0,0,3,0,0,0,0,0
27,5,1,14,3,0,0,0,5,0,5,0,0,2,0,0
28,7,0,20,11,1,0,0,0,0,7,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,0,33,2,0,0,0,0,0,13,0,0,0,0,0
31,5,0,15,3,0,0,0,0,0,0,0,0,0,0,0
32,10,0,28,16,2,0,0,0,0,4,0,0,0,0,0
33,10,0,13,18,1,0,0,0,0,17,0,0,0,0,0
34,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0
35,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
36,3,0,18,1,2,0,0,0,0,2,0,0,0,0,0
37,10,0,11,16,0,0,0,0,0,7,0,0,0,0,0
38,3,0,3,0,0,0,0,0,0,2,0,0,0,0,0
39,9,0,32,12,1,0,0,0,0,11,0,0,0,0,0
40,6,1,44,3,0,0,1,12,0,9,0,0,1,0,0
41,9,0,7,10,0,0,0,0,0,9,0,0,0,0,0
42,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
43,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
44,3,0,15,0,1,0,0,0,0,3,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,1,8,8,0,0,0,2,0,2,0,0,1,0,0
48,3,1,19,1,0,0,0,11,0,0,0,0,1,0,0
49,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,11,0,0,0,8,0,0,31,0,0,0,0,10,0
52,5,1,18,5,0,0,0,5,0,7,0,0,2,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,12,1,30,44,0,0,1,3,0,14,0,0,5,0,0
55,11,1,41,30,1,0,1,5,0,7,0,0,3,0,0
