60 101
0 24 1
0 37 1
0 38 1
0 57 1
1 2 1
1 21 1
1 47 1
2 53 1
3 11 1
3 12 1
3 37 1
3 50 1
4 20 -1
4 33 -1
5 37 1
5 59 1
6 11 1
6 20 1
6 25 1
6 26 1
7 38 1
7 40 -1
8 16 1
8 24 1
8 38 1
8 39 1
8 56 1
9 13 1
9 21 1
9 37 1
9 48 1
10 15 1
10 20 1
10 33 1
10 41 1
11 45 1
11 54 1
11 58 1
12 14 1
12 15 1
12 29 1
12 39 1
12 47 1
13 24 1
13 44 1
14 24 1
14 41 1
14 43 1
15 20 1
15 35 1
16 28 1
17 25 -1
17 32 1
17 50 1
17 57 1
18 22 1
18 23 1
18 57 -1
19 35 -1
21 42 1
21 53 1
22 38 1
23 41 1
24 47 1
25 27 1
25 41 1
25 45 1
26 32 1
26 53 1
27 37 1
27 50 1
28 29 1
28 40 1
29 31 1
29 34 1
30 37 1
30 43 1
30 55 1
31 56 1
31 57 -1
32 44 -1
34 57 1
35 43 1
35 49 -1
35 51 1
36 45 -1
36 58 1
38 59 1
39 55 1
39 56 -1
41 43 1
42 43 1
42 46 1
42 53 -1
44 45 1
48 52 1
50 58 1
54 57 1
55 59 1
58 59 1
