120 730
0 1 1
0 5 1
0 12 1
0 13 1
0 46 1
0 47 1
0 48 -1
0 51 -1
0 58 1
0 81 1
0 83 1
0 86 1
0 108 1
1 5 1
1 8 1
1 27 1
1 29 -1
1 58 1
1 63 -1
1 67 -1
1 70 1
1 81 1
1 82 1
1 86 -1
1 88 1
2 10 1
2 15 1
2 19 1
2 23 1
2 29 1
2 30 1
2 38 1
2 45 -1
2 62 1
2 75 1
2 90 1
2 100 1
2 108 1
2 111 1
3 4 1
3 10 1
3 11 1
3 22 1
3 25 1
3 33 -1
3 36 1
3 42 1
3 83 1
3 85 1
3 107 1
3 114 1
4 27 1
4 29 1
4 40 1
4 41 1
4 55 1
4 56 1
4 63 1
4 75 1
4 82 -1
4 95 1
4 103 1
4 109 1
4 111 1
5 11 1
5 12 1
5 16 1
5 19 1
5 31 -1
5 50 1
5 61 1
5 68 1
5 74 1
5 80 1
5 111 1
6 8 1
6 11 1
6 22 -1
6 23 1
6 30 1
6 42 1
6 63 1
6 72 1
6 91 1
7 14 1
7 21 1
7 36 1
7 64 1
7 75 1
7 85 1
7 88 1
7 103 1
7 117 1
8 9 1
8 28 1
8 46 1
8 63 1
8 65 1
8 73 1
8 82 1
8 87 1
8 90 -1
8 97 1
8 101 1
8 107 1
8 112 -1
9 16 1
9 40 1
9 43 1
9 47 1
9 50 -1
9 65 1
9 83 1
9 90 1
9 95 1
9 99 1
9 112 1
10 19 -1
10 25 1
10 30 1
10 33 1
10 46 1
10 47 1
10 50 1
10 51 1
10 64 1
10 68 1
10 81 1
10 101 1
10 102 1
10 111 1
11 39 1
11 52 1
11 65 1
11 68 1
11 78 1
11 88 1
11 97 1
11 106 1
11 112 1
12 29 1
12 32 1
12 44 1
12 46 -1
12 63 1
12 91 1
12 92 1
12 102 1
12 105 1
12 110 1
12 118 1
13 19 1
13 26 1
13 35 1
13 49 1
13 54 1
13 85 1
13 93 1
13 109 1
14 22 1
14 25 1
14 35 1
14 49 1
14 57 -1
14 75 -1
14 86 1
14 98 1
14 110 1
14 117 1
15 37 -1
15 47 -1
15 48 1
15 60 1
15 66 1
15 68 -1
15 79 1
15 80 1
15 90 1
15 94 1
15 115 1
16 17 -1
16 19 1
16 20 -1
16 26 1
16 33 1
16 43 1
16 47 1
16 60 1
16 65 1
16 73 1
16 75 1
16 103 1
16 109 -1
17 34 1
17 45 1
17 47 1
17 48 1
17 49 1
17 56 1
17 68 1
17 69 1
17 70 1
17 77 1
17 90 1
17 93 -1
17 108 1
17 115 1
18 20 1
18 24 1
18 33 1
18 35 -1
18 42 1
18 59 1
18 62 1
18 69 1
18 77 1
18 98 -1
18 99 1
18 100 -1
18 105 1
18 117 1
19 32 1
19 35 -1
19 37 1
19 44 1
19 54 1
19 68 1
19 76 1
19 84 1
19 86 1
19 91 1
19 115 1
19 119 1
20 26 1
20 30 1
20 44 1
20 51 1
20 52 1
20 65 1
20 71 1
20 83 1
20 85 1
20 99 1
20 105 1
20 107 1
20 115 1
21 22 1
21 26 1
21 27 1
21 46 1
21 54 1
21 61 1
21 78 -1
21 84 1
21 88 1
21 94 1
21 102 1
21 114 1
22 25 1
22 33 1
22 39 1
22 65 1
22 69 1
22 74 1
22 78 1
22 80 1
22 87 1
22 91 1
22 92 1
22 106 1
22 108 1
23 24 1
23 32 1
23 33 1
23 35 1
23 41 1
23 44 1
23 49 1
23 54 1
23 59 1
23 69 1
23 78 1
23 79 1
23 89 1
23 115 -1
23 116 -1
24 25 -1
24 63 1
24 101 1
24 102 1
24 108 1
24 110 1
25 56 1
25 73 1
25 83 1
25 95 1
25 103 1
25 112 1
25 119 1
26 27 1
26 32 1
26 36 1
26 52 1
26 82 1
27 51 1
27 56 1
27 62 1
27 70 1
27 79 1
27 83 -1
27 87 1
27 95 1
27 100 1
27 105 1
28 59 1
28 66 -1
28 80 1
28 86 1
28 101 1
28 104 1
28 108 1
28 114 1
28 117 1
28 118 1
29 76 1
29 77 -1
29 110 1
29 114 1
30 31 1
30 35 -1
30 38 1
30 62 1
30 68 1
30 82 1
30 85 1
30 90 1
30 98 1
30 99 1
30 107 -1
30 116 1
31 32 1
31 38 1
31 39 1
31 41 1
31 56 1
31 67 1
31 82 -1
31 94 1
31 101 1
31 105 1
32 35 1
32 53 1
32 54 1
32 57 1
32 70 1
32 75 -1
33 39 1
33 41 1
33 46 1
33 56 1
33 58 -1
33 59 1
33 76 1
33 103 1
33 112 1
34 39 -1
34 44 -1
34 53 1
34 54 1
34 66 1
34 104 1
34 113 1
35 48 1
35 57 1
35 84 1
35 88 1
35 90 1
35 101 1
35 105 1
35 109 1
36 40 1
36 48 1
36 61 1
36 63 1
36 77 1
36 78 1
36 82 1
36 87 1
37 48 1
37 49 -1
37 56 1
37 57 1
37 67 1
37 79 1
37 84 1
37 97 1
37 102 1
37 108 1
37 112 1
37 114 1
38 43 1
38 45 1
38 61 -1
38 64 1
38 69 1
38 73 1
38 80 1
38 96 1
38 111 -1
38 114 1
39 49 1
39 64 1
39 72 1
39 73 1
39 77 1
39 82 1
39 90 1
40 43 1
40 59 1
40 66 1
40 67 1
40 77 1
40 88 1
40 92 1
40 107 1
40 111 1
40 116 1
40 118 1
40 119 1
41 52 1
41 54 -1
41 61 1
41 75 1
41 89 1
41 96 1
41 100 1
42 43 1
42 51 1
42 70 1
42 83 1
42 86 1
42 99 1
42 104 1
42 107 1
42 109 1
42 118 1
43 87 1
43 88 1
43 90 1
43 97 1
44 48 1
44 57 -1
44 72 1
44 74 1
44 80 1
44 82 1
44 88 1
44 93 1
44 104 1
44 113 1
45 48 -1
45 59 1
45 69 1
45 90 1
45 101 1
45 112 1
46 54 1
46 67 1
46 93 1
46 118 1
47 68 1
47 93 1
47 106 1
47 112 1
47 116 1
48 76 1
48 77 1
48 79 1
48 82 1
48 85 1
48 98 1
48 102 1
48 110 1
48 117 1
49 64 1
49 77 1
49 79 1
49 83 1
50 53 1
50 66 1
50 69 1
50 75 1
50 88 -1
50 91 1
50 104 1
50 114 -1
50 117 1
50 118 1
51 57 1
51 87 1
51 92 1
51 97 -1
51 119 1
52 59 1
52 73 -1
52 75 1
52 80 1
52 84 1
53 67 1
53 77 1
53 91 1
53 96 1
53 97 1
54 62 1
54 63 1
54 69 1
54 71 1
54 94 1
54 101 1
54 104 1
54 108 -1
54 113 1
54 119 1
55 59 1
55 65 1
55 99 1
55 102 1
55 103 -1
55 105 1
56 63 1
56 64 1
56 80 1
56 87 1
56 89 1
56 106 -1
56 111 1
57 59 1
57 65 1
57 70 1
57 74 1
57 75 1
57 91 1
57 111 1
57 112 1
57 118 1
58 59 1
58 64 1
58 75 1
58 78 1
58 83 1
58 89 1
58 94 1
58 101 1
58 108 1
58 110 1
58 111 1
58 116 1
58 118 -1
59 72 1
59 74 1
59 76 1
59 78 1
59 101 1
60 76 1
60 84 1
60 88 1
60 89 1
60 104 1
60 107 1
60 109 1
60 111 1
61 67 1
61 72 1
61 88 1
61 93 -1
61 114 1
62 74 1
62 81 1
62 86 1
62 93 1
62 95 1
62 98 1
62 106 1
62 113 1
62 117 1
63 66 1
63 68 1
63 71 1
63 73 1
63 75 1
63 106 1
63 117 1
64 71 -1
64 81 1
65 70 -1
65 108 1
65 113 1
66 70 1
66 75 1
66 78 1
66 115 1
67 89 -1
67 92 1
67 99 1
67 105 1
