60 295
0 4 -1
0 16 1
0 20 1
0 32 -1
0 33 1
0 40 1
1 2 -1
1 9 -1
1 16 1
1 26 1
1 32 1
1 40 1
1 54 1
1 56 -1
2 3 -1
2 10 -1
2 24 -1
2 29 -1
2 31 1
2 48 1
2 57 -1
3 8 -1
3 10 1
3 14 -1
3 21 -1
3 25 -1
3 40 1
3 50 1
3 55 -1
3 58 1
4 5 1
4 7 1
4 20 1
4 27 1
4 30 -1
4 34 1
4 35 1
4 41 1
4 42 -1
4 47 1
4 55 1
4 56 1
5 6 -1
5 9 -1
5 11 -1
5 15 1
5 17 -1
5 20 1
5 22 1
5 38 -1
5 39 -1
5 42 1
5 45 1
5 55 -1
5 58 1
6 7 1
6 13 -1
6 27 1
6 31 1
6 39 1
6 46 -1
6 48 -1
6 51 1
6 55 1
6 56 -1
6 59 1
7 8 1
7 9 1
7 10 -1
7 11 -1
7 12 -1
7 20 -1
7 38 -1
7 40 -1
7 43 1
7 44 -1
7 45 -1
8 17 1
8 22 -1
8 26 -1
8 27 -1
8 29 1
8 30 -1
8 35 1
8 41 -1
8 54 1
8 59 1
9 15 -1
9 23 -1
9 24 1
9 30 1
9 44 -1
9 48 -1
9 53 -1
9 58 1
10 14 1
10 16 -1
10 35 1
10 36 -1
10 39 -1
10 41 1
10 43 1
10 46 1
11 31 1
11 52 1
11 54 -1
11 56 -1
11 58 -1
12 16 1
12 19 1
12 29 1
12 34 -1
12 44 -1
12 50 1
12 59 -1
13 16 -1
13 18 1
13 20 -1
13 31 1
13 35 -1
13 36 -1
13 37 -1
13 39 -1
13 46 -1
14 23 1
14 30 1
14 36 1
14 43 1
14 53 -1
14 55 -1
14 57 1
14 59 1
15 17 1
15 19 -1
15 26 -1
15 35 -1
15 43 -1
15 46 -1
15 47 1
15 50 1
15 57 1
16 21 -1
16 25 -1
16 33 -1
16 39 -1
16 53 -1
16 55 1
17 30 1
17 34 1
17 44 -1
17 46 -1
17 47 -1
17 49 1
17 58 -1
18 31 1
18 33 -1
18 44 1
18 46 -1
18 54 -1
19 21 1
19 33 1
19 40 -1
19 41 1
19 55 1
20 21 -1
20 23 1
20 25 -1
20 29 -1
20 31 1
20 45 -1
21 32 1
21 41 1
22 26 1
22 40 -1
22 41 -1
22 45 -1
22 49 -1
22 56 -1
23 26 1
23 29 -1
23 31 -1
23 42 -1
23 49 -1
24 25 1
24 26 -1
24 28 1
24 35 -1
24 41 -1
24 48 1
24 56 -1
24 57 1
25 34 -1
25 36 1
25 46 1
25 50 1
25 52 1
25 56 -1
25 57 -1
26 33 1
26 37 -1
26 39 1
26 48 -1
26 53 -1
26 54 -1
27 28 1
27 34 -1
27 35 1
27 46 -1
27 49 -1
28 29 -1
28 30 -1
28 34 -1
28 35 -1
28 40 -1
28 42 1
28 43 1
28 50 -1
29 30 -1
29 42 -1
29 51 -1
29 56 -1
30 31 -1
30 41 -1
30 46 1
30 50 -1
30 56 -1
31 42 1
31 43 1
31 48 -1
31 51 -1
31 55 1
32 33 -1
32 45 -1
32 48 -1
32 51 -1
32 52 -1
33 36 -1
33 41 1
33 45 1
33 47 1
33 56 -1
34 48 1
34 52 -1
34 56 1
35 36 1
35 39 -1
35 42 1
35 49 -1
36 54 1
36 56 1
37 38 -1
37 40 -1
37 44 -1
37 46 -1
37 51 1
37 52 -1
37 55 -1
37 56 -1
38 44 -1
38 45 -1
38 53 1
38 58 1
38 59 -1
39 41 -1
39 44 1
39 51 -1
39 52 1
40 41 -1
41 48 -1
41 52 -1
41 53 -1
43 52 1
44 47 -1
44 49 -1
44 57 -1
45 49 1
45 50 -1
45 59 1
46 50 -1
47 57 1
48 54 -1
49 51 1
49 58 1
50 52 1
50 57 -1
51 52 -1
51 53 1
51 55 1
51 58 1
52 54 -1
53 59 -1
55 56 1
57 58 -1
57 59 -1
